longitude,latitude,Location,Cult,Image
-75.30444043,2.998612519,"Neiva, Huila",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-75.69455369,4.814279439,"Pereira, Risaralda",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-76.52221894,3.420556214,"Cali, Valle del Cauca",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-117.8678294,33.7455768,Santa Ana,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-89.20180681,13.70688172,San Salvador,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
7.747884622,48.5831483,"Strasbourg, Alsace",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
2.352223254,48.85661514,"Paris, Ile-de-France",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
4.360056564,43.83670067,"Nimes, Languedoc-Roussillon",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
8.379946914,49.00914801,Karlsruhe,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-61.47856947,16.22160699,Gosier,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-91.86666232,14.70000396,Coatepeque,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-58.15482828,6.804615372,"Georgetown, Demerara-Mahaica",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-59.24999596,2.516669175,"Aishalton, Upper Takutu-Upper Essequibo",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-72.67777568,19.67189777,"Gros Morne, Artibonite",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-72.33640709,18.53927003,"Port-au-Prince, Ouest",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-87.21669957,14.08330023,Tegucigalpa,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
93.9481989,24.80630125,"Imphal, Manipur",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
112.6265048,-7.981889583,"Malang, Jawa Timur",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-8.486313167,51.89689461,Cork,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-6.260308061,53.34980616,Dublin,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-76.48595153,44.23117334,Kingston,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-90.06562666,30.35825145,Mandeville,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-77.07371147,18.40410345,Ocho Rios,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
37.05656113,-0.596874085,"Muthuthiini, Central",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
